iter	Logloss
0	0.6921436932
1	0.6911292397
2	0.6901122525
3	0.6890744997
4	0.6875911197
5	0.6863110035
6	0.685265397
7	0.6843784795
8	0.6835614002
9	0.6827812509
10	0.6812213917
11	0.6804828247
12	0.6798530297
13	0.6782806321
14	0.6773299732
15	0.6763104936
16	0.6752586834
17	0.6743295561
18	0.6734296322
19	0.672631749
20	0.6715515175
21	0.6709636976
22	0.6700190178
23	0.6691384598
24	0.6681645972
25	0.6672916369
26	0.6661366184
27	0.6651929019
28	0.6639585536
29	0.6628069519
30	0.6617237886
31	0.6607988065
32	0.6600417101
33	0.6592550038
34	0.6586435126
35	0.6576480456
36	0.6569995171
37	0.6560275953
38	0.6544672255
39	0.653677142
40	0.6527486707
41	0.6521345749
42	0.6514980547
43	0.6509796148
44	0.6501365563
45	0.6491333211
46	0.6482368929
47	0.6472275426
48	0.6463004697
49	0.6455537665
50	0.6449035777
51	0.644283075
52	0.6435688824
53	0.6425821833
54	0.6417904131
55	0.6410802822
56	0.6402851784
57	0.6394182518
58	0.6387914697
59	0.6378237713
60	0.6369733999
61	0.6360195942
62	0.6348514175
63	0.6339266777
64	0.6329433896
65	0.6318904336
66	0.6311101355
67	0.6303278169
68	0.6295429826
69	0.6287460483
70	0.6276430592
71	0.6267802595
72	0.6261016142
73	0.6253827188
74	0.6247854922
75	0.624187984
76	0.6233063634
77	0.6222990004
78	0.6215475741
79	0.6210742949
80	0.6203265115
81	0.6195501534
82	0.6190776976
83	0.6183655732
84	0.617773309
85	0.616786407
86	0.6161316481
87	0.6151144281
88	0.6144611859
89	0.6136647006
90	0.6128407086
91	0.6121430717
92	0.6114406763
93	0.6108329979
94	0.6102775664
95	0.6093303888
96	0.608702741
97	0.6082819199
98	0.6072895287
99	0.6067023562
100	0.606055005
101	0.6054688635
102	0.6048220092
103	0.6040752613
104	0.6034431846
105	0.6027376938
106	0.602251679
107	0.6015112496
108	0.60067241
109	0.6000875386
110	0.5990879723
111	0.5985060632
112	0.5977692965
113	0.5970668594
114	0.5964989321
115	0.5957521312
116	0.5950753397
117	0.5942655286
118	0.5933272606
119	0.5926206484
120	0.5921028411
121	0.5914377685
122	0.5909345047
123	0.5904275758
124	0.5897915103
125	0.589204223
126	0.5884028436
127	0.5874559879
128	0.587060395
129	0.5865783411
130	0.5857484582
131	0.5853752186
132	0.5846912695
133	0.5842406225
134	0.5835456876
135	0.5827337644
136	0.5822941931
137	0.5813788959
138	0.5805943453
139	0.5801417034
140	0.5797351177
141	0.5790225501
142	0.5782961662
143	0.5777857571
144	0.5768201342
145	0.5762288882
146	0.5755975662
147	0.5749892262
148	0.5743019145
149	0.5738614056
150	0.5731468846
151	0.5727024046
152	0.572051883
153	0.5713695017
154	0.5707480388
155	0.5701988185
156	0.5696351576
157	0.5691577996
158	0.5686394174
159	0.5682942132
160	0.5679639835
161	0.5673991383
162	0.5667386968
163	0.5660932667
164	0.5653238025
165	0.5647303019
166	0.5643154274
167	0.5637820787
168	0.5633252714
169	0.5629601575
170	0.5620920952
171	0.5614103367
172	0.5606706863
173	0.5600931215
174	0.559363127
175	0.5588936428
176	0.5583263793
177	0.5579689748
178	0.5574492782
179	0.5568618671
180	0.556219595
181	0.555475354
182	0.5550003938
183	0.5544820006
184	0.5539161889
185	0.5533856248
186	0.5527779305
187	0.5521345045
188	0.5517649699
189	0.5512798132
190	0.550855522
191	0.5503255079
192	0.549948605
193	0.5494856179
194	0.5491501476
195	0.548508342
196	0.5477037322
197	0.5473711957
198	0.5467931795
199	0.5463011136
200	0.5458487705
201	0.545450136
202	0.5447910818
203	0.5444676205
204	0.5440586054
205	0.5435459901
206	0.5430896414
207	0.5424786996
208	0.5418446319
209	0.5415145223
210	0.5411615143
211	0.5405226749
212	0.5402481507
213	0.5398577939
214	0.5394878417
215	0.5389862063
216	0.5385904204
217	0.53795646
218	0.5372365423
219	0.536558362
220	0.5359817631
221	0.5357180278
222	0.5353158219
223	0.5349367633
224	0.5345161764
225	0.5340984401
226	0.533652833
227	0.5331722142
228	0.532363946
229	0.5318991994
230	0.5313936282
231	0.5309715145
232	0.5306652144
233	0.5302233927
234	0.5296259883
235	0.5290450624
236	0.528678745
237	0.5280914222
238	0.5277911281
239	0.5272186062
240	0.5265156546
241	0.5261091986
242	0.525693275
243	0.5247697533
244	0.5243979684
245	0.5237613923
246	0.5229993902
247	0.522352854
248	0.521850056
249	0.5210780784
250	0.5205317888
251	0.5199961004
252	0.5194643499
253	0.5189751869
254	0.5184684218
255	0.5179416493
256	0.517457338
257	0.5167752775
258	0.5162149557
259	0.5157708127
260	0.5149196227
261	0.5144459128
262	0.5142537182
263	0.5137794976
264	0.5135200549
265	0.5132221735
266	0.5126649799
267	0.5121386508
268	0.5117042231
269	0.5110765769
270	0.5104186275
271	0.5098160418
272	0.5093163492
273	0.5088183351
274	0.5081398502
275	0.5076391286
276	0.5071913468
277	0.5069042253
278	0.5066161691
279	0.5061282633
280	0.5057822371
281	0.5054442923
282	0.5049190046
283	0.5044814813
284	0.5039310504
285	0.5035059911
286	0.5028543774
287	0.5021461703
288	0.5016990612
289	0.5011327288
290	0.5006186825
291	0.5002628336
292	0.4997956559
293	0.49960133
294	0.4989955518
295	0.498501009
296	0.4980852942
297	0.497696085
