iter	Logloss
0	0.6905622175
1	0.6880385491
2	0.6853624159
3	0.68300038
4	0.6809354598
5	0.6784370792
6	0.6767990358
7	0.6744534892
8	0.671719951
9	0.6688618814
10	0.6672305446
11	0.6650668113
12	0.6622121257
13	0.6600290114
14	0.6574697187
15	0.6554534666
16	0.6529376122
17	0.6502534805
18	0.6478073366
19	0.6452813918
20	0.6434559976
21	0.640833947
22	0.6385629715
23	0.6365029735
24	0.6344112273
25	0.6325229522
26	0.6305882239
27	0.6283157103
28	0.6264769031
29	0.6244855081
30	0.6224602115
31	0.6202107706
32	0.6177525059
33	0.6157526816
34	0.6141955468
35	0.6115603908
36	0.6099382216
37	0.6079900188
38	0.6057611281
39	0.6039916008
40	0.601809717
41	0.6001772727
42	0.5979315235
43	0.5958221805
44	0.5938810533
45	0.5918686774
46	0.589985263
47	0.5877095499
48	0.585429653
49	0.5839096192
50	0.5821183728
51	0.5797717187
52	0.5779315579
53	0.5765441156
54	0.5748422684
55	0.5734318764
56	0.5720556936
57	0.569788779
58	0.5678875831
59	0.5662742738
60	0.5647311057
61	0.563475455
62	0.5613496227
63	0.5599897446
64	0.5585596638
65	0.5565366437
66	0.5550406671
67	0.553583945
68	0.5519406103
69	0.550657703
70	0.5490693123
71	0.5475162383
72	0.5459431679
73	0.5443186606
74	0.5432284571
75	0.5414827408
76	0.539455783
77	0.5379136608
78	0.5361182305
79	0.5339547434
80	0.5321973985
81	0.5304149505
82	0.5293121953
83	0.5281992266
84	0.5270202391
85	0.525521063
86	0.5230314193
87	0.5218022254
88	0.5198558684
89	0.5182362218
90	0.5166173135
91	0.5151588686
92	0.5135265781
93	0.5117146277
94	0.5103995723
95	0.5089679841
96	0.5074468428
97	0.5059815684
98	0.5039905733
99	0.5025192691
100	0.5006083212
101	0.4991245885
102	0.4972977177
103	0.496116792
104	0.4949484179
105	0.4936215185
106	0.4920139313
107	0.4907687095
108	0.489311772
109	0.4878241631
110	0.4865565761
111	0.4851803011
112	0.4834188031
113	0.4824818027
114	0.4810933144
115	0.4801097993
116	0.4791991634
117	0.4777695748
118	0.4764116964
119	0.4747334142
120	0.4734926531
121	0.471852241
122	0.4707170917
123	0.4690653893
124	0.4679820153
125	0.466847912
126	0.4659722544
127	0.4644432991
128	0.4631341504
129	0.4617918076
130	0.4600375698
131	0.4588294798
132	0.457318306
133	0.455951906
134	0.4546277138
135	0.4533749242
136	0.4525109568
137	0.451432505
138	0.45055494
139	0.4494852558
140	0.448749573
141	0.4472969117
142	0.4463297013
143	0.4452789368
144	0.4441675371
145	0.4425857913
146	0.4418053166
147	0.4408220168
148	0.4393133963
149	0.438181108
150	0.4369625276
151	0.43578394
152	0.4347635085
153	0.4332694084
154	0.4325727032
155	0.4312902574
156	0.4303992487
157	0.4293475613
158	0.4282247482
159	0.4273080518
160	0.4262623941
161	0.4250704858
162	0.4242274069
163	0.4232789932
164	0.4218254705
165	0.4204858964
166	0.4191807162
167	0.4179642585
168	0.4164821256
169	0.4153616198
170	0.4142737542
171	0.4131802897
172	0.4119628783
173	0.4108588926
174	0.4095700172
175	0.4088771266
176	0.4078172868
177	0.4070966167
178	0.4061653383
179	0.4055688304
180	0.4045506754
181	0.4034593951
182	0.4027198668
183	0.4015889937
184	0.4006838645
185	0.3997169925
186	0.398912922
187	0.3977831564
188	0.3963340636
189	0.3957255579
190	0.3950505103
191	0.3942331806
192	0.3932070578
193	0.3927369887
194	0.3915945176
195	0.3909089488
196	0.3900430433
197	0.3890951833
198	0.3880541402
199	0.3870970818
200	0.3862735071
201	0.3851982855
202	0.3844242096
203	0.3839499566
204	0.3829741632
205	0.3819795732
206	0.3809447442
207	0.379945632
208	0.3791139664
209	0.3780128417
210	0.3769776129
211	0.3763646464
212	0.3757267614
213	0.3750129823
214	0.3743961088
215	0.3737117706
216	0.3728358976
217	0.3718334936
218	0.3711794269
219	0.3703792941
220	0.3694960686
221	0.3688626443
222	0.3677518291
223	0.3674352092
224	0.3665631202
225	0.3656923848
226	0.3650403177
227	0.3643153098
228	0.3633886153
229	0.36276885
230	0.3618335109
231	0.3610293481
232	0.360366083
233	0.3593848444
234	0.3585012497
235	0.3579603011
236	0.3573948645
237	0.356842041
238	0.3561527191
239	0.3548951918
240	0.3542781645
241	0.3534743709
242	0.3528083063
243	0.3520020823
244	0.350991526
245	0.3503288454
246	0.3495686439
247	0.3488454511
248	0.3481341331
249	0.347111825
250	0.3464073673
251	0.3456873432
252	0.3451137235
253	0.3446635277
254	0.3436153473
255	0.3426900679
256	0.341996962
257	0.3413870412
258	0.3406264397
259	0.3400073205
260	0.3391905139
261	0.3386526723
262	0.3382170893
263	0.3374459051
264	0.3368449673
265	0.3363841272
266	0.3354577711
267	0.3345000359
268	0.3338797785
269	0.3332664428
270	0.332962959
271	0.3321024679
272	0.3313365444
273	0.330742836
274	0.3301441439
